experiment protein  msmsID intensity sample group
1 SimulatedProtein195 SimulatedProtein195.Peptide1  5.88814954812 TRT2.2 TRT2
1 SimulatedProtein196 SimulatedProtein196.Peptide1  5.67869766401 CTL.1 CTL
1 SimulatedProtein196 SimulatedProtein196.Peptide1  6.70260063423 CTL.2 CTL
1 SimulatedProtein196 SimulatedProtein196.Peptide1  6.63960421938 TRT1.1 TRT1
1 SimulatedProtein196 SimulatedProtein196.Peptide1  5.97728936892 TRT1.2 TRT1
1 SimulatedProtein196 SimulatedProtein196.Peptide1  5.93569279382 TRT2.1 TRT2
1 SimulatedProtein196 SimulatedProtein196.Peptide1  6.32222793174 TRT2.2 TRT2
1 SimulatedProtein196 SimulatedProtein196.Peptide2  13.5010910712 CTL.1 CTL
1 SimulatedProtein196 SimulatedProtein196.Peptide2  14.5235174546 CTL.2 CTL
1 SimulatedProtein196 SimulatedProtein196.Peptide2  13.734922032 TRT1.1 TRT1
1 SimulatedProtein196 SimulatedProtein196.Peptide2  14.0554942984 TRT1.2 TRT1
1 SimulatedProtein196 SimulatedProtein196.Peptide2  13.0105584021 TRT2.1 TRT2
1 SimulatedProtein196 SimulatedProtein196.Peptide2  13.7664055226 TRT2.2 TRT2
1 SimulatedProtein197 SimulatedProtein197.Peptide1  13.4443466413 CTL.1 CTL
1 SimulatedProtein197 SimulatedProtein197.Peptide1  13.2046809832 CTL.2 CTL
1 SimulatedProtein197 SimulatedProtein197.Peptide1  13.4939023969 TRT1.1 TRT1
1 SimulatedProtein197 SimulatedProtein197.Peptide1  14.0880810387 TRT1.2 TRT1
1 SimulatedProtein197 SimulatedProtein197.Peptide1  12.1216398135 TRT2.1 TRT2
1 SimulatedProtein197 SimulatedProtein197.Peptide1  12.4290743422 TRT2.2 TRT2
1 SimulatedProtein197 SimulatedProtein197.Peptide2  9.82620237725 CTL.1 CTL
1 SimulatedProtein197 SimulatedProtein197.Peptide2  10.2906219762 CTL.2 CTL
1 SimulatedProtein197 SimulatedProtein197.Peptide2  10.1189202173 TRT1.1 TRT1
1 SimulatedProtein197 SimulatedProtein197.Peptide2  10.0055329866 TRT1.2 TRT1
1 SimulatedProtein197 SimulatedProtein197.Peptide2  8.28526818961 TRT2.1 TRT2
1 SimulatedProtein197 SimulatedProtein197.Peptide2  8.75913860893 TRT2.2 TRT2
1 SimulatedProtein197 SimulatedProtein197.Peptide3  12.0222762246 CTL.1 CTL
1 SimulatedProtein197 SimulatedProtein197.Peptide3  12.6499506649 CTL.2 CTL
1 SimulatedProtein197 SimulatedProtein197.Peptide3  12.2649395937 TRT1.1 TRT1
1 SimulatedProtein197 SimulatedProtein197.Peptide3  11.6578025942 TRT1.2 TRT1
1 SimulatedProtein197 SimulatedProtein197.Peptide3  11.0509932858 TRT2.1 TRT2
1 SimulatedProtein197 SimulatedProtein197.Peptide3  11.6743090403 TRT2.2 TRT2
1 SimulatedProtein197 SimulatedProtein197.Peptide4  8.72679743395 CTL.1 CTL
1 SimulatedProtein197 SimulatedProtein197.Peptide4  8.5824311596 CTL.2 CTL
1 SimulatedProtein197 SimulatedProtein197.Peptide4  8.35509480114 TRT1.1 TRT1
1 SimulatedProtein197 SimulatedProtein197.Peptide4  8.17141538057 TRT1.2 TRT1
1 SimulatedProtein197 SimulatedProtein197.Peptide4  6.76004045491 TRT2.1 TRT2
1 SimulatedProtein197 SimulatedProtein197.Peptide4  6.76096963993 TRT2.2 TRT2
1 SimulatedProtein197 SimulatedProtein197.Peptide5  9.64364046746 CTL.1 CTL
1 SimulatedProtein197 SimulatedProtein197.Peptide5  10.5499853213 CTL.2 CTL
1 SimulatedProtein197 SimulatedProtein197.Peptide5  10.7186029086 TRT1.1 TRT1
1 SimulatedProtein197 SimulatedProtein197.Peptide5  10.5098376845 TRT1.2 TRT1
1 SimulatedProtein197 SimulatedProtein197.Peptide5  8.80463376835 TRT2.1 TRT2
1 SimulatedProtein197 SimulatedProtein197.Peptide5  9.40562270192 TRT2.2 TRT2
1 SimulatedProtein197 SimulatedProtein197.Peptide6  8.84487942403 CTL.1 CTL
1 SimulatedProtein197 SimulatedProtein197.Peptide6  9.60712921283 CTL.2 CTL
1 SimulatedProtein197 SimulatedProtein197.Peptide6  9.87823537935 TRT1.1 TRT1
1 SimulatedProtein197 SimulatedProtein197.Peptide6  9.19224942999 TRT1.2 TRT1
1 SimulatedProtein197 SimulatedProtein197.Peptide6  8.35604661174 TRT2.1 TRT2
1 SimulatedProtein197 SimulatedProtein197.Peptide6  8.31117790527 TRT2.2 TRT2
1 SimulatedProtein197 SimulatedProtein197.Peptide7  8.90830503323 CTL.1 CTL
1 SimulatedProtein197 SimulatedProtein197.Peptide7  9.46509865465 CTL.2 CTL
1 SimulatedProtein197 SimulatedProtein197.Peptide7  9.52240359283 TRT1.1 TRT1
1 SimulatedProtein197 SimulatedProtein197.Peptide7  9.36857536682 TRT1.2 TRT1
1 SimulatedProtein197 SimulatedProtein197.Peptide7  8.15527511174 TRT2.1 TRT2
1 SimulatedProtein197 SimulatedProtein197.Peptide7  8.34470200972 TRT2.2 TRT2
1 SimulatedProtein198 SimulatedProtein198.Peptide1  12.9471655518 CTL.1 CTL
1 SimulatedProtein198 SimulatedProtein198.Peptide1  12.8762963325 CTL.2 CTL
1 SimulatedProtein198 SimulatedProtein198.Peptide1  12.5763351973 TRT1.1 TRT1
1 SimulatedProtein198 SimulatedProtein198.Peptide1  12.4699524671 TRT1.2 TRT1
1 SimulatedProtein198 SimulatedProtein198.Peptide1  12.9264069723 TRT2.1 TRT2
1 SimulatedProtein198 SimulatedProtein198.Peptide1  13.2536111694 TRT2.2 TRT2
1 SimulatedProtein198 SimulatedProtein198.Peptide2  5.92132251882 CTL.1 CTL
1 SimulatedProtein198 SimulatedProtein198.Peptide2  6.29959628483 CTL.2 CTL
1 SimulatedProtein198 SimulatedProtein198.Peptide2  6.41397365842 TRT1.1 TRT1
1 SimulatedProtein198 SimulatedProtein198.Peptide2  6.23225074101 TRT1.2 TRT1
1 SimulatedProtein198 SimulatedProtein198.Peptide2  5.66817021864 TRT2.1 TRT2
1 SimulatedProtein198 SimulatedProtein198.Peptide2  6.09614452943 TRT2.2 TRT2
1 SimulatedProtein198 SimulatedProtein198.Peptide3  12.7752679508 CTL.1 CTL
1 SimulatedProtein198 SimulatedProtein198.Peptide3  12.7518115913 CTL.2 CTL
1 SimulatedProtein198 SimulatedProtein198.Peptide3  12.3997636958 TRT1.1 TRT1
1 SimulatedProtein198 SimulatedProtein198.Peptide3  12.7234305697 TRT1.2 TRT1
1 SimulatedProtein198 SimulatedProtein198.Peptide3  12.6612400813 TRT2.1 TRT2
1 SimulatedProtein198 SimulatedProtein198.Peptide3  12.7506346055 TRT2.2 TRT2
1 SimulatedProtein198 SimulatedProtein198.Peptide4  14.8809077518 CTL.1 CTL
1 SimulatedProtein198 SimulatedProtein198.Peptide4  14.4010173495 CTL.2 CTL
1 SimulatedProtein198 SimulatedProtein198.Peptide4  14.646119634 TRT1.1 TRT1
1 SimulatedProtein198 SimulatedProtein198.Peptide4  14.4004392555 TRT1.2 TRT1
1 SimulatedProtein198 SimulatedProtein198.Peptide4  14.5308572588 TRT2.1 TRT2
1 SimulatedProtein198 SimulatedProtein198.Peptide4  15.0534020214 TRT2.2 TRT2
1 SimulatedProtein198 SimulatedProtein198.Peptide5  12.7664025364 CTL.1 CTL
1 SimulatedProtein198 SimulatedProtein198.Peptide5  12.6725651813 CTL.2 CTL
1 SimulatedProtein198 SimulatedProtein198.Peptide5  12.7580113131 TRT1.1 TRT1
1 SimulatedProtein198 SimulatedProtein198.Peptide5  12.8341406336 TRT1.2 TRT1
1 SimulatedProtein198 SimulatedProtein198.Peptide5  12.5814051993 TRT2.1 TRT2
1 SimulatedProtein198 SimulatedProtein198.Peptide5  13.1237017743 TRT2.2 TRT2
1 SimulatedProtein198 SimulatedProtein198.Peptide6  9.70395408275 CTL.1 CTL
1 SimulatedProtein198 SimulatedProtein198.Peptide6  10.7928078807 CTL.2 CTL
1 SimulatedProtein198 SimulatedProtein198.Peptide6  9.23948181677 TRT1.1 TRT1
1 SimulatedProtein198 SimulatedProtein198.Peptide6  9.94927210284 TRT1.2 TRT1
1 SimulatedProtein198 SimulatedProtein198.Peptide6  10.0010504904 TRT2.1 TRT2
1 SimulatedProtein198 SimulatedProtein198.Peptide6  10.3958188774 TRT2.2 TRT2
1 SimulatedProtein198 SimulatedProtein198.Peptide7  13.7904297493 CTL.1 CTL
1 SimulatedProtein198 SimulatedProtein198.Peptide7  13.9374336278 CTL.2 CTL
1 SimulatedProtein198 SimulatedProtein198.Peptide7  13.4998567153 TRT1.1 TRT1
1 SimulatedProtein198 SimulatedProtein198.Peptide7  13.3558749241 TRT1.2 TRT1
1 SimulatedProtein198 SimulatedProtein198.Peptide7  13.6354807634 TRT2.1 TRT2
1 SimulatedProtein198 SimulatedProtein198.Peptide7  13.3812964259 TRT2.2 TRT2
1 SimulatedProtein198 SimulatedProtein198.Peptide8  6.0626880161 CTL.1 CTL
1 SimulatedProtein198 SimulatedProtein198.Peptide8  6.5159225676 CTL.2 CTL
1 SimulatedProtein198 SimulatedProtein198.Peptide8  6.43655824439 TRT1.1 TRT1
1 SimulatedProtein198 SimulatedProtein198.Peptide8  5.83700273868 TRT1.2 TRT1
1 SimulatedProtein198 SimulatedProtein198.Peptide8  6.53772908322 TRT2.1 TRT2
1 SimulatedProtein198 SimulatedProtein198.Peptide8  6.33081737055 TRT2.2 TRT2
1 SimulatedProtein198 SimulatedProtein198.Peptide9  5.61419639653 CTL.1 CTL
1 SimulatedProtein198 SimulatedProtein198.Peptide9  5.89284694946 CTL.2 CTL
1 SimulatedProtein198 SimulatedProtein198.Peptide9  5.68690589 TRT1.1 TRT1
1 SimulatedProtein198 SimulatedProtein198.Peptide9  5.35034238012 TRT1.2 TRT1
1 SimulatedProtein198 SimulatedProtein198.Peptide9  5.20960032804 TRT2.1 TRT2
1 SimulatedProtein198 SimulatedProtein198.Peptide9  5.84887746045 TRT2.2 TRT2
1 SimulatedProtein199 SimulatedProtein199.Peptide1  14.6135685816 CTL.1 CTL
1 SimulatedProtein199 SimulatedProtein199.Peptide1  14.3000302443 CTL.2 CTL
1 SimulatedProtein199 SimulatedProtein199.Peptide1  14.6822691068 TRT1.1 TRT1
1 SimulatedProtein199 SimulatedProtein199.Peptide1  14.5837717653 TRT1.2 TRT1
1 SimulatedProtein199 SimulatedProtein199.Peptide1  14.404819525 TRT2.1 TRT2
1 SimulatedProtein199 SimulatedProtein199.Peptide1  14.3650628743 TRT2.2 TRT2
1 SimulatedProtein200 SimulatedProtein200.Peptide1  8.41475822879 CTL.1 CTL
1 SimulatedProtein200 SimulatedProtein200.Peptide1  8.29689703727 CTL.2 CTL
1 SimulatedProtein200 SimulatedProtein200.Peptide1  8.83123844068 TRT1.1 TRT1
1 SimulatedProtein200 SimulatedProtein200.Peptide1  8.87087567124 TRT1.2 TRT1
1 SimulatedProtein200 SimulatedProtein200.Peptide1  8.34375869691 TRT2.1 TRT2
1 SimulatedProtein200 SimulatedProtein200.Peptide1  8.15351407945 TRT2.2 TRT2
1 SimulatedProtein200 SimulatedProtein200.Peptide2  9.07347580702 CTL.1 CTL
1 SimulatedProtein200 SimulatedProtein200.Peptide2  9.93755439096 CTL.2 CTL
1 SimulatedProtein200 SimulatedProtein200.Peptide2  10.3166566451 TRT1.1 TRT1
1 SimulatedProtein200 SimulatedProtein200.Peptide2  9.8579935545 TRT1.2 TRT1
1 SimulatedProtein200 SimulatedProtein200.Peptide2  9.56165667371 TRT2.1 TRT2
1 SimulatedProtein200 SimulatedProtein200.Peptide2  10.0564728421 TRT2.2 TRT2
1 SimulatedProtein201 SimulatedProtein201.Peptide1  7.81100818376 CTL.1 CTL
1 SimulatedProtein201 SimulatedProtein201.Peptide1  8.22926644573 CTL.2 CTL
1 SimulatedProtein201 SimulatedProtein201.Peptide1  8.95545809017 TRT1.1 TRT1
1 SimulatedProtein201 SimulatedProtein201.Peptide1  8.13391268524 TRT1.2 TRT1
1 SimulatedProtein201 SimulatedProtein201.Peptide1  7.59960402344 TRT2.1 TRT2
1 SimulatedProtein201 SimulatedProtein201.Peptide1  8.12947383725 TRT2.2 TRT2
1 SimulatedProtein202 SimulatedProtein202.Peptide1  10.763167745 CTL.1 CTL
1 SimulatedProtein202 SimulatedProtein202.Peptide1  11.3414123543 CTL.2 CTL
1 SimulatedProtein202 SimulatedProtein202.Peptide1  10.9845792203 TRT1.1 TRT1
1 SimulatedProtein202 SimulatedProtein202.Peptide1  10.8600747129 TRT1.2 TRT1
1 SimulatedProtein202 SimulatedProtein202.Peptide1  11.0117308848 TRT2.1 TRT2
1 SimulatedProtein202 SimulatedProtein202.Peptide1  11.2126386249 TRT2.2 TRT2
1 SimulatedProtein202 SimulatedProtein202.Peptide2  12.5580872909 CTL.1 CTL
1 SimulatedProtein202 SimulatedProtein202.Peptide2  12.4169146285 CTL.2 CTL
1 SimulatedProtein202 SimulatedProtein202.Peptide2  12.019392149 TRT1.1 TRT1
1 SimulatedProtein202 SimulatedProtein202.Peptide2  11.9498853514 TRT1.2 TRT1
1 SimulatedProtein202 SimulatedProtein202.Peptide2  12.2745460123 TRT2.1 TRT2
1 SimulatedProtein202 SimulatedProtein202.Peptide2  11.8634961008 TRT2.2 TRT2
1 SimulatedProtein202 SimulatedProtein202.Peptide3  9.36892118509 CTL.1 CTL
1 SimulatedProtein202 SimulatedProtein202.Peptide3  9.57147596949 CTL.2 CTL
1 SimulatedProtein202 SimulatedProtein202.Peptide3  9.59211582001 TRT1.1 TRT1
1 SimulatedProtein202 SimulatedProtein202.Peptide3  9.7686514033 TRT1.2 TRT1
1 SimulatedProtein202 SimulatedProtein202.Peptide3  9.95532737215 TRT2.1 TRT2
1 SimulatedProtein202 SimulatedProtein202.Peptide3  9.78876286684 TRT2.2 TRT2
1 SimulatedProtein203 SimulatedProtein203.Peptide1  12.7542683311 CTL.1 CTL
1 SimulatedProtein203 SimulatedProtein203.Peptide1  12.6178504663 CTL.2 CTL
1 SimulatedProtein203 SimulatedProtein203.Peptide1  13.4637590311 TRT1.1 TRT1
1 SimulatedProtein203 SimulatedProtein203.Peptide1  12.3277317353 TRT1.2 TRT1
1 SimulatedProtein203 SimulatedProtein203.Peptide1  13.3116516075 TRT2.1 TRT2
1 SimulatedProtein203 SimulatedProtein203.Peptide1  13.0119405546 TRT2.2 TRT2
1 SimulatedProtein203 SimulatedProtein203.Peptide2  15.035320655 CTL.1 CTL
1 SimulatedProtein203 SimulatedProtein203.Peptide2  15.1433123699 CTL.2 CTL
1 SimulatedProtein203 SimulatedProtein203.Peptide2  15.3899843522 TRT1.1 TRT1
1 SimulatedProtein203 SimulatedProtein203.Peptide2  14.4706971344 TRT1.2 TRT1
1 SimulatedProtein203 SimulatedProtein203.Peptide2  14.9655974979 TRT2.1 TRT2
1 SimulatedProtein203 SimulatedProtein203.Peptide2  15.6247128658 TRT2.2 TRT2
1 SimulatedProtein203 SimulatedProtein203.Peptide3  13.4917552174 CTL.1 CTL
1 SimulatedProtein203 SimulatedProtein203.Peptide3  13.4482222793 CTL.2 CTL
1 SimulatedProtein203 SimulatedProtein203.Peptide3  13.492317338 TRT1.1 TRT1
1 SimulatedProtein203 SimulatedProtein203.Peptide3  13.8174889232 TRT1.2 TRT1
1 SimulatedProtein203 SimulatedProtein203.Peptide3  13.2673178568 TRT2.1 TRT2
1 SimulatedProtein203 SimulatedProtein203.Peptide3  13.9879001554 TRT2.2 TRT2
1 SimulatedProtein203 SimulatedProtein203.Peptide4  5.72561380129 CTL.1 CTL
1 SimulatedProtein203 SimulatedProtein203.Peptide4  5.76634997574 CTL.2 CTL
1 SimulatedProtein203 SimulatedProtein203.Peptide4  5.52179307114 TRT1.1 TRT1
1 SimulatedProtein203 SimulatedProtein203.Peptide4  6.23845627788 TRT1.2 TRT1
1 SimulatedProtein203 SimulatedProtein203.Peptide4  5.62036788396 TRT2.1 TRT2
1 SimulatedProtein203 SimulatedProtein203.Peptide4  5.78825470657 TRT2.2 TRT2
1 SimulatedProtein203 SimulatedProtein203.Peptide5  14.981788185 CTL.1 CTL
1 SimulatedProtein203 SimulatedProtein203.Peptide5  15.3958307742 CTL.2 CTL
1 SimulatedProtein203 SimulatedProtein203.Peptide5  15.5281269688 TRT1.1 TRT1
1 SimulatedProtein203 SimulatedProtein203.Peptide5  15.1536981036 TRT1.2 TRT1
1 SimulatedProtein203 SimulatedProtein203.Peptide5  15.0550740218 TRT2.1 TRT2
1 SimulatedProtein203 SimulatedProtein203.Peptide5  15.1377430071 TRT2.2 TRT2
1 SimulatedProtein203 SimulatedProtein203.Peptide6  12.4806699191 CTL.1 CTL
1 SimulatedProtein203 SimulatedProtein203.Peptide6  12.9458278024 CTL.2 CTL
1 SimulatedProtein203 SimulatedProtein203.Peptide6  12.176258443 TRT1.1 TRT1
1 SimulatedProtein203 SimulatedProtein203.Peptide6  12.4210519086 TRT1.2 TRT1
1 SimulatedProtein203 SimulatedProtein203.Peptide6  12.745205509 TRT2.1 TRT2
1 SimulatedProtein203 SimulatedProtein203.Peptide6  12.0931073561 TRT2.2 TRT2
1 SimulatedProtein204 SimulatedProtein204.Peptide1  12.1417760682 CTL.1 CTL
1 SimulatedProtein204 SimulatedProtein204.Peptide1  12.7566879014 CTL.2 CTL
1 SimulatedProtein204 SimulatedProtein204.Peptide1  12.4383310093 TRT1.1 TRT1
1 SimulatedProtein204 SimulatedProtein204.Peptide1  12.646901358 TRT1.2 TRT1
1 SimulatedProtein204 SimulatedProtein204.Peptide1  11.0635148201 TRT2.1 TRT2
1 SimulatedProtein204 SimulatedProtein204.Peptide1  10.7733098425 TRT2.2 TRT2
1 SimulatedProtein204 SimulatedProtein204.Peptide2  12.7054677447 CTL.1 CTL
1 SimulatedProtein204 SimulatedProtein204.Peptide2  12.529480314 CTL.2 CTL
1 SimulatedProtein204 SimulatedProtein204.Peptide2  12.5697627829 TRT1.1 TRT1
1 SimulatedProtein204 SimulatedProtein204.Peptide2  12.2880299158 TRT1.2 TRT1
1 SimulatedProtein204 SimulatedProtein204.Peptide2  11.567901019 TRT2.1 TRT2
1 SimulatedProtein204 SimulatedProtein204.Peptide2  11.2534770212 TRT2.2 TRT2
1 SimulatedProtein204 SimulatedProtein204.Peptide3  11.5127823328 CTL.1 CTL
1 SimulatedProtein204 SimulatedProtein204.Peptide3  11.4731945956 CTL.2 CTL
1 SimulatedProtein204 SimulatedProtein204.Peptide3  11.599159036 TRT1.1 TRT1
1 SimulatedProtein204 SimulatedProtein204.Peptide3  11.330849885 TRT1.2 TRT1
1 SimulatedProtein204 SimulatedProtein204.Peptide3  9.78852319372 TRT2.1 TRT2
1 SimulatedProtein204 SimulatedProtein204.Peptide3  10.0786578099 TRT2.2 TRT2
1 SimulatedProtein204 SimulatedProtein204.Peptide4  6.68185239047 CTL.1 CTL
1 SimulatedProtein204 SimulatedProtein204.Peptide4  6.76737412845 CTL.2 CTL
1 SimulatedProtein204 SimulatedProtein204.Peptide4  6.33233743187 TRT1.1 TRT1
1 SimulatedProtein204 SimulatedProtein204.Peptide4  6.61208988123 TRT1.2 TRT1
1 SimulatedProtein204 SimulatedProtein204.Peptide4  5.23798711454 TRT2.1 TRT2
1 SimulatedProtein204 SimulatedProtein204.Peptide4  5.51719141044 TRT2.2 TRT2
1 SimulatedProtein204 SimulatedProtein204.Peptide5  7.20207556041 CTL.1 CTL
1 SimulatedProtein204 SimulatedProtein204.Peptide5  7.01316833656 CTL.2 CTL
1 SimulatedProtein204 SimulatedProtein204.Peptide5  7.04196360258 TRT1.1 TRT1
1 SimulatedProtein204 SimulatedProtein204.Peptide5  7.57573223185 TRT1.2 TRT1
1 SimulatedProtein204 SimulatedProtein204.Peptide5  5.29953469101 TRT2.1 TRT2
1 SimulatedProtein204 SimulatedProtein204.Peptide5  5.68882205732 TRT2.2 TRT2
1 SimulatedProtein204 SimulatedProtein204.Peptide6  11.6970721445 CTL.1 CTL
1 SimulatedProtein204 SimulatedProtein204.Peptide6  11.3449687326 CTL.2 CTL
1 SimulatedProtein204 SimulatedProtein204.Peptide6  10.9075537353 TRT1.1 TRT1
1 SimulatedProtein204 SimulatedProtein204.Peptide6  10.918252534 TRT1.2 TRT1
1 SimulatedProtein204 SimulatedProtein204.Peptide6  10.2828442323 TRT2.1 TRT2
1 SimulatedProtein204 SimulatedProtein204.Peptide6  10.5644649568 TRT2.2 TRT2
1 SimulatedProtein204 SimulatedProtein204.Peptide7  12.5018089295 CTL.1 CTL
1 SimulatedProtein204 SimulatedProtein204.Peptide7  13.2439729836 CTL.2 CTL
1 SimulatedProtein204 SimulatedProtein204.Peptide7  12.718449561 TRT1.1 TRT1
1 SimulatedProtein204 SimulatedProtein204.Peptide7  12.8771089564 TRT1.2 TRT1
1 SimulatedProtein204 SimulatedProtein204.Peptide7  11.3732915151 TRT2.1 TRT2
1 SimulatedProtein204 SimulatedProtein204.Peptide7  11.9688440121 TRT2.2 TRT2
1 SimulatedProtein205 SimulatedProtein205.Peptide1  12.4856702834 CTL.1 CTL
1 SimulatedProtein205 SimulatedProtein205.Peptide1  13.2638779933 CTL.2 CTL
1 SimulatedProtein205 SimulatedProtein205.Peptide1  12.9180780736 TRT1.1 TRT1
1 SimulatedProtein205 SimulatedProtein205.Peptide1  12.5985666808 TRT1.2 TRT1
1 SimulatedProtein205 SimulatedProtein205.Peptide1  14.1257299467 TRT2.1 TRT2
1 SimulatedProtein205 SimulatedProtein205.Peptide1  13.3847807309 TRT2.2 TRT2
1 SimulatedProtein205 SimulatedProtein205.Peptide2  10.4351626113 CTL.1 CTL
1 SimulatedProtein205 SimulatedProtein205.Peptide2  10.3818368136 CTL.2 CTL
1 SimulatedProtein205 SimulatedProtein205.Peptide2  10.2730599413 TRT1.1 TRT1
1 SimulatedProtein205 SimulatedProtein205.Peptide2  9.86164922175 TRT1.2 TRT1
1 SimulatedProtein205 SimulatedProtein205.Peptide2  11.6262610236 TRT2.1 TRT2
1 SimulatedProtein205 SimulatedProtein205.Peptide2  10.9178164876 TRT2.2 TRT2
1 SimulatedProtein206 SimulatedProtein206.Peptide1  10.2081522464 CTL.1 CTL
1 SimulatedProtein206 SimulatedProtein206.Peptide1  10.02601353145 CTL.2 CTL
1 SimulatedProtein206 SimulatedProtein206.Peptide1  10.479476741 TRT1.1 TRT1
1 SimulatedProtein206 SimulatedProtein206.Peptide1  10.7537303367 TRT1.2 TRT1
1 SimulatedProtein206 SimulatedProtein206.Peptide1  10.3897278797 TRT2.1 TRT2
1 SimulatedProtein206 SimulatedProtein206.Peptide1  10.4812281288 TRT2.2 TRT2
1 SimulatedProtein206 SimulatedProtein206.Peptide2  13.1557269398 CTL.1 CTL
1 SimulatedProtein206 SimulatedProtein206.Peptide2  13.6028324707 CTL.2 CTL
1 SimulatedProtein206 SimulatedProtein206.Peptide2  13.0053783401 TRT1.1 TRT1
1 SimulatedProtein206 SimulatedProtein206.Peptide2  13.218638396 TRT1.2 TRT1
1 SimulatedProtein206 SimulatedProtein206.Peptide2  13.3835263476 TRT2.1 TRT2
1 SimulatedProtein206 SimulatedProtein206.Peptide2  13.6241688063 TRT2.2 TRT2
1 SimulatedProtein206 SimulatedProtein206.Peptide3  9.04882845831 CTL.1 CTL
1 SimulatedProtein206 SimulatedProtein206.Peptide3  9.39335465408 CTL.2 CTL
1 SimulatedProtein206 SimulatedProtein206.Peptide3  9.16554120949 TRT1.1 TRT1
1 SimulatedProtein206 SimulatedProtein206.Peptide3  9.14815160537 TRT1.2 TRT1
1 SimulatedProtein206 SimulatedProtein206.Peptide3  9.35456623461 TRT2.1 TRT2
1 SimulatedProtein206 SimulatedProtein206.Peptide3  8.9450286279 TRT2.2 TRT2
1 SimulatedProtein206 SimulatedProtein206.Peptide4  12.7341112299 CTL.1 CTL
1 SimulatedProtein206 SimulatedProtein206.Peptide4  12.6578274508 CTL.2 CTL
1 SimulatedProtein206 SimulatedProtein206.Peptide4  12.2984859873 TRT1.1 TRT1
1 SimulatedProtein206 SimulatedProtein206.Peptide4  12.4023615029 TRT1.2 TRT1
1 SimulatedProtein206 SimulatedProtein206.Peptide4  12.5847227127 TRT2.1 TRT2
1 SimulatedProtein206 SimulatedProtein206.Peptide4  12.9391568258 TRT2.2 TRT2
1 SimulatedProtein207 SimulatedProtein207.Peptide1  13.6027107956 CTL.1 CTL
1 SimulatedProtein207 SimulatedProtein207.Peptide1  13.9453834837 CTL.2 CTL
1 SimulatedProtein207 SimulatedProtein207.Peptide1  14.0086325253 TRT1.1 TRT1
1 SimulatedProtein207 SimulatedProtein207.Peptide1  13.5654888649 TRT1.2 TRT1
1 SimulatedProtein207 SimulatedProtein207.Peptide1  14.3495437764 TRT2.1 TRT2
1 SimulatedProtein207 SimulatedProtein207.Peptide1  13.7056814023 TRT2.2 TRT2
1 SimulatedProtein207 SimulatedProtein207.Peptide2  11.1430186715 CTL.1 CTL
1 SimulatedProtein207 SimulatedProtein207.Peptide2  11.2490292238 CTL.2 CTL
1 SimulatedProtein207 SimulatedProtein207.Peptide2  10.9787240078 TRT1.1 TRT1
1 SimulatedProtein207 SimulatedProtein207.Peptide2  10.8031685139 TRT1.2 TRT1
1 SimulatedProtein207 SimulatedProtein207.Peptide2  11.4128364193 TRT2.1 TRT2
1 SimulatedProtein207 SimulatedProtein207.Peptide2  11.4392191402 TRT2.2 TRT2
1 SimulatedProtein207 SimulatedProtein207.Peptide3  11.2614584456 CTL.1 CTL
1 SimulatedProtein207 SimulatedProtein207.Peptide3  11.2906699454 CTL.2 CTL
1 SimulatedProtein207 SimulatedProtein207.Peptide3  11.4465346693 TRT1.1 TRT1
1 SimulatedProtein207 SimulatedProtein207.Peptide3  11.1335392062 TRT1.2 TRT1
1 SimulatedProtein207 SimulatedProtein207.Peptide3  11.3260762855 TRT2.1 TRT2
1 SimulatedProtein207 SimulatedProtein207.Peptide3  11.1029083561 TRT2.2 TRT2
1 SimulatedProtein207 SimulatedProtein207.Peptide4  15.2770065497 CTL.1 CTL
1 SimulatedProtein207 SimulatedProtein207.Peptide4  14.7555796032 CTL.2 CTL
1 SimulatedProtein207 SimulatedProtein207.Peptide4  15.5445500658 TRT1.1 TRT1
1 SimulatedProtein207 SimulatedProtein207.Peptide4  15.9226627505 TRT1.2 TRT1
1 SimulatedProtein207 SimulatedProtein207.Peptide4  15.2399491766 TRT2.1 TRT2
1 SimulatedProtein207 SimulatedProtein207.Peptide4  16.150838483 TRT2.2 TRT2
1 SimulatedProtein207 SimulatedProtein207.Peptide5  7.29364295872 CTL.1 CTL
1 SimulatedProtein207 SimulatedProtein207.Peptide5  7.24103634651 CTL.2 CTL
1 SimulatedProtein207 SimulatedProtein207.Peptide5  7.34724383323 TRT1.1 TRT1
1 SimulatedProtein207 SimulatedProtein207.Peptide5  6.84674106985 TRT1.2 TRT1
1 SimulatedProtein207 SimulatedProtein207.Peptide5  7.59473544701 TRT2.1 TRT2
1 SimulatedProtein207 SimulatedProtein207.Peptide5  6.50068388079 TRT2.2 TRT2
1 SimulatedProtein208 SimulatedProtein208.Peptide1  15.3096972487 CTL.1 CTL
1 SimulatedProtein208 SimulatedProtein208.Peptide1  15.9510776872 CTL.2 CTL
1 SimulatedProtein208 SimulatedProtein208.Peptide1  15.9868930264 TRT1.1 TRT1
1 SimulatedProtein208 SimulatedProtein208.Peptide1  15.291877673 TRT1.2 TRT1
1 SimulatedProtein208 SimulatedProtein208.Peptide1  15.6674701826 TRT2.1 TRT2
1 SimulatedProtein208 SimulatedProtein208.Peptide1  15.2068920242 TRT2.2 TRT2
1 SimulatedProtein208 SimulatedProtein208.Peptide2  8.67637769968 CTL.1 CTL
